period_type,hour,crime_count,is_peak,month,display,year,pct_change,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TIME_BLOCK,OCC_DOW,MCI_CATEGORY,count
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Tuesday,Theft Over,579.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Wednesday,Crimes Against Person,17168.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Wednesday,Other Crimes,10085.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Wednesday,Theft Over,593.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Friday,Crimes Against Person,10447.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Friday,Other Crimes,9133.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Friday,Theft Over,392.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Monday,Crimes Against Person,9141.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Monday,Other Crimes,9235.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Monday,Theft Over,345.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Saturday,Crimes Against Person,14864.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Saturday,Other Crimes,9056.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Saturday,Theft Over,324.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Sunday,Crimes Against Person,15288.0
